Cell_ID,Sample_ID,Condition,Cell_Type,EPCAM,KRT18,CD3D,MS4A1,LST1,IFNG,CXCL10,OCLN,TJP1
Cell_01,Control_1,Control,Epithelial,14,18,0,0,0,0,1,10,12
Cell_02,Control_1,Control,Epithelial,12,16,0,0,0,0,0,9,11
Cell_03,Control_2,Control,Epithelial,15,20,0,0,0,0,1,11,13
Cell_04,Control_2,Control,Epithelial,11,15,0,0,0,0,0,8,10
Cell_05,Celiac_1,Celiac,Epithelial,12,17,0,0,0,0,7,5,6
Cell_06,Celiac_1,Celiac,Epithelial,10,15,0,0,0,0,9,4,5
Cell_07,Celiac_2,Celiac,Epithelial,13,18,0,0,0,0,8,5,6
Cell_08,Celiac_2,Celiac,Epithelial,9,14,0,0,0,0,10,3,4
Cell_09,Control_1,Control,T_cell,0,1,16,0,0,4,1,0,0
Cell_10,Control_2,Control,T_cell,0,0,18,0,0,5,1,0,0
Cell_11,Celiac_1,Celiac,T_cell,0,1,20,0,0,12,4,0,0
Cell_12,Celiac_2,Celiac,T_cell,0,0,19,0,0,14,5,0,0
Cell_13,Control_1,Control,B_cell,0,0,0,15,0,0,0,0,0
Cell_14,Celiac_1,Celiac,B_cell,0,0,0,18,0,1,1,0,0
Cell_15,Control_2,Control,Myeloid,0,0,0,0,16,1,2,0,0
Cell_16,Celiac_2,Celiac,Myeloid,0,0,0,0,20,3,7,0,0
