Cell_ID,Sample_ID,Condition,Cell_Type,EPCAM,KRT18,CD3D,MS4A1,LST1,IFNG,CXCL10,STAT1,OCLN,TJP1,CLDN4,GAPDH
Cell_001,Control_1,Control,Epithelial,12,16,0,2,2,2,4,2,9,11,9,12
Cell_002,Control_1,Control,T_cell,1,2,16,1,2,4,1,2,1,2,1,15
Cell_003,Control_1,Control,B_cell,1,0,1,16,1,1,0,2,0,2,2,13
Cell_004,Control_1,Control,Myeloid,0,2,0,1,13,2,3,2,1,1,1,12
Cell_005,Control_2,Control,Epithelial,14,15,0,0,1,2,4,3,8,9,7,10
Cell_006,Control_2,Control,T_cell,0,0,15,0,1,5,2,3,2,1,1,13
Cell_007,Control_2,Control,B_cell,0,1,1,15,0,2,1,1,0,2,1,12
Cell_008,Control_2,Control,Myeloid,0,1,1,0,14,1,3,2,0,1,0,12
Cell_009,Control_3,Control,Epithelial,16,16,1,2,2,1,3,2,9,12,9,11
Cell_010,Control_3,Control,T_cell,0,2,15,1,2,7,3,4,2,1,1,13
Cell_011,Control_3,Control,B_cell,1,0,1,13,0,2,1,2,1,2,2,14
Cell_012,Control_3,Control,Myeloid,1,1,2,1,15,1,2,2,2,1,1,13
Cell_013,Control_4,Control,Epithelial,14,16,0,2,1,0,1,2,9,11,9,14
Cell_014,Control_4,Control,T_cell,0,0,14,1,1,6,2,3,1,2,1,13
Cell_015,Control_4,Control,B_cell,2,0,0,14,1,1,1,2,2,1,1,13
Cell_016,Control_4,Control,Myeloid,1,1,1,1,15,1,3,2,0,2,1,7
Cell_017,Celiac_1,Celiac,Epithelial,13,17,2,1,1,6,10,7,5,7,5,12
Cell_018,Celiac_1,Celiac,T_cell,2,0,15,2,0,9,3,4,0,1,1,11
Cell_019,Celiac_1,Celiac,B_cell,0,0,1,15,2,1,2,3,0,1,0,11
Cell_020,Celiac_1,Celiac,Myeloid,1,0,2,2,14,1,5,3,1,1,0,11
Cell_021,Celiac_2,Celiac,Epithelial,13,13,0,2,0,3,6,4,6,5,5,12
Cell_022,Celiac_2,Celiac,T_cell,1,0,13,1,2,7,3,5,1,1,2,13
Cell_023,Celiac_2,Celiac,B_cell,2,1,1,14,0,0,1,3,2,0,1,11
Cell_024,Celiac_2,Celiac,Myeloid,0,1,1,2,14,3,7,6,1,2,2,14
Cell_025,Celiac_3,Celiac,Epithelial,13,16,1,1,0,5,9,7,6,7,5,13
Cell_026,Celiac_3,Celiac,T_cell,2,1,12,0,1,9,4,6,1,2,1,12
Cell_027,Celiac_3,Celiac,B_cell,2,0,2,14,2,2,0,3,2,1,2,13
Cell_028,Celiac_3,Celiac,Myeloid,1,1,2,0,14,1,4,4,2,1,1,12
Cell_029,Celiac_4,Celiac,Epithelial,15,16,1,1,1,3,8,6,4,5,4,8
Cell_030,Celiac_4,Celiac,T_cell,2,2,14,0,0,9,3,4,1,1,1,14
Cell_031,Celiac_4,Celiac,B_cell,0,1,1,13,0,1,1,4,0,1,0,13
Cell_032,Celiac_4,Celiac,Myeloid,0,0,1,0,15,3,8,6,0,2,1,10
